,Bundesland,Gesamteinkommen,Kaufkraft
01,Schleswig-Holstein,60839907,21548
02,Hamburg,41400094,23596
03,Niedersachsen,157493476,20169
04,Bremen,13228664,20054
05,Nordrhein-Westfalen,373355312,21207
06,Hessen,131143805,21606
07,Rheinland-Pfalz,87190364,21781
08,Baden-Württemberg,244103000,22869
09,Bayern,291908599,23080
10,Saarland,19779566,19982
11,Berlin,64070615,18594
12,Brandenburg,45633066,18599
13,Mecklenburg-Vorpommern,27939088,17486
14,Sachsen,73556480,18158
15,Sachsen-Anhalt,39728211,17735
16,Thüringen,38723725,17938
